TSTART (NuSTAR MET),TSTOP (NuSTAR MET),TPEAK (NuSTAR MET),T90 (s),FLUENCE (erg cm-2),FLUENCE_ERR (erg cm-2),HARDNESS (10-79keV/3-10keV),HARDNESS_ERR
403409905.599507,403409906.960375,403409906.491022,1.360868,1.375e-09,3.815e-10,0.627,0.356
403410000.364839,403410000.470499,403410000.39632,0.10566,1.175e-09,3.564e-10,0.570,0.354
403410099.171249,403410100.30121,403410099.371248,1.129961,5.072e-08,3.158e-09,0.567,0.074
403410222.543739,403410222.787176,403410222.644729,0.243437,8.333e-10,2.962e-10,3.024,2.475
403410301.689052,403410302.129653,403410302.01039505,0.440601,5.271e-10,2.359e-10,1.500,1.372
403410446.88216,403410447.522143,403410447.06216,0.639983,4.754e-09,7.329e-10,0.452,0.151
403410531.013931,403410531.35174,403410531.02718806,0.337809,1.471e-09,3.916e-10,0.744,0.401
403410532.867068,403410534.027018,403410532.9270741,1.15995,1.508e-08,1.406e-09,0.490,0.097
403410608.305717,403410609.280335,403410608.39246607,0.974617,2.460e-09,5.120e-10,1.103,0.459
403410680.475497,403410680.965281,403410680.51793504,0.489784,2.641e-09,5.271e-10,0.468,0.200
403410703.68619,403410703.919442,403410703.786445,0.233252,1.662e-09,4.267e-10,0.498,0.272
403410783.396871,403410784.064384,403410783.89121604,0.667514,1.486e-09,3.966e-10,0.281,0.185
403410878.997479,403410879.061631,403410879.024793,0.064152,4.116e-10,2.058e-10,0.976,0.988
403411016.765066,403411017.595026,403411016.795074,0.82996,5.532e-09,7.881e-10,0.640,0.188
403411042.677782,403411042.833296,403411042.783185,0.155514,5.171e-10,2.309e-10,1.512,1.384
403411248.629807,403411248.825803,403411248.767589,0.195996,1.802e-09,4.367e-10,0.547,0.278
403411261.48658,403411262.556516,403411261.516588,1.069936,9.719e-09,1.049e-09,0.682,0.150
403411274.605546,403411275.395503,403411275.215508,0.789958,1.159e-08,1.185e-09,0.713,0.148
403411468.019803,403411468.789759,403411468.22979605,0.769956,7.856e-09,9.588e-10,0.264,0.079
403411522.085017,403411522.665138,403411522.2552401,0.580122,2.816e-09,5.522e-10,0.626,0.251
403411622.053946,403411622.539074,403411622.09665203,0.485128,1.857e-09,4.518e-10,0.907,0.441
403411847.707069,403411847.816582,403411847.7665111,0.109513,1.993e-09,4.669e-10,0.636,0.307
403412002.072242,403412002.362235,403412002.102249,0.289993,6.275e-09,8.685e-10,0.616,0.176
403412103.543417,403412103.779485,403412103.6526971,0.236068,2.108e-09,4.819e-10,0.561,0.267
403412212.722316,403412213.532258,403412212.872311,0.809943,2.243e-08,1.852e-09,0.515,0.090
403412242.612125,403412243.054505,403412242.9394361,0.44238,1.662e-09,4.267e-10,0.498,0.272
403412623.542811,403412624.292759,403412624.162761,0.749948,9.518e-09,1.185e-09,0.653,0.166
403412642.9034,403412643.037371,403412643.020952,0.133971,1.044e-09,3.665e-10,0.333,0.274
403412698.29565,403412698.465653,403412698.385651,0.170004,4.990e-09,8.183e-10,0.858,0.283
403415445.355515,403415445.975505,403415445.835502,0.61999,1.464e-08,1.386e-09,0.640,0.123
403415494.780576,403415495.234757,403415495.033134,0.454181,1.049e-09,3.313e-10,0.000,0.000
403415528.477231,403415528.900463,403415528.70150805,0.423232,6.275e-10,2.560e-10,0.506,0.433
403415744.370899,403415746.340821,403415744.6408961,1.969921,4.931e-08,2.977e-09,0.437,0.057
403415809.468955,403415809.695706,403415809.567618,0.226751,7.430e-10,2.811e-10,2.524,2.071
403415826.77673,403415827.086734,403415826.896734,0.310004,5.311e-09,7.831e-10,0.437,0.140
403415994.850994,403415994.977046,403415994.867947,0.126053,3.112e-10,1.807e-10,2.000,2.430
403416400.90101,403416401.221907,403416400.95455503,0.320897,3.308e-09,6.024e-10,0.877,0.321
403416441.074838,403416441.595694,403416441.542016,0.520856,1.682e-09,4.217e-10,0.772,0.389
403416488.380028,403416488.529425,403416488.52902806,0.149397,5.622e-10,2.510e-10,0.258,0.290
403416494.139729,403416494.383937,403416494.168666,0.244208,1.059e-09,3.363e-10,0.661,0.427
403416515.77726,403416516.267248,403416516.107249,0.489988,1.214e-08,1.280e-09,0.551,0.121
403416703.021942,403416704.819777,403416703.9346161,1.797835,1.561e-09,4.016e-10,0.364,0.215
403416728.072404,403416728.366562,403416728.212916,0.294158,1.285e-09,3.715e-10,0.718,0.420
403416912.559497,403416912.959487,403416912.809489,0.39999,8.730e-09,1.024e-09,0.663,0.159
403416990.593007,403416990.703359,403416990.633561,0.110352,7.430e-10,2.811e-10,0.741,0.569
403417118.723458,403417118.993456,403417118.81346107,0.269998,7.274e-09,9.387e-10,0.617,0.163
403417349.629451,403417349.769412,403417349.74425805,0.139961,7.480e-10,2.811e-10,0.733,0.556
403417414.273721,403417414.483022,403417414.288676,0.209301,1.867e-09,4.518e-10,3.276,1.889
403417428.723997,403417428.780763,403417428.747414,0.056766,4.367e-10,2.159e-10,1.000,1.020
403417619.47825,403417619.516223,403417619.510381,0.037973,4.367e-10,2.209e-10,1.023,1.015
403417623.325532,403417623.582909,403417623.45002306,0.257377,1.968e-09,4.669e-10,1.253,0.597
403417705.475308,403417708.337231,403417705.96245503,2.861923,2.520e-09,5.271e-10,0.360,0.171
403417833.823147,403417833.953095,403417833.830536,0.129948,8.634e-10,3.062e-10,0.607,0.448
403417911.051149,403417911.152666,403417911.06324303,0.101517,8.383e-10,2.962e-10,1.694,1.242
403417998.128075,403417999.599733,403417998.28493905,1.471658,1.491e-09,3.966e-10,0.560,0.314
403418014.485683,403418014.609271,403418014.543385,0.123587,7.279e-10,2.761e-10,0.394,0.329
403418088.499756,403418089.148121,403418089.016245,0.648364,2.179e-09,4.869e-10,0.311,0.159
403418224.74144,403418224.9154,403418224.763173,0.17396,5.422e-10,2.410e-10,0.256,0.286
403418249.649571,403418249.803831,403418249.6907691,0.154261,2.128e-09,4.869e-10,0.901,0.413
403418296.021524,403418296.128511,403418296.056298,0.106986,5.522e-10,2.460e-10,1.444,1.330
403418320.093971,403418320.253976,403418320.123978,0.160005,4.242e-09,7.078e-10,0.724,0.246
403418335.012534,403418335.602497,403418335.242522,0.589963,8.539e-09,1.019e-09,0.549,0.137
403421163.894487,403421163.948653,403421163.90092206,0.054166,6.225e-10,2.560e-10,1.000,0.821
403421284.881012,403421285.84893,403421285.125093,0.967917,1.461e-09,3.916e-10,0.169,0.126
403421610.694189,403421611.601986,403421610.719,0.907797,2.550e-09,5.221e-10,0.603,0.255
403421838.057003,403421839.146964,403421838.886968,1.089961,3.041e-08,2.128e-09,0.482,0.072
403421899.893592,403421900.693567,403421900.543566,0.799975,5.381e-09,7.781e-10,0.414,0.132
403422011.306672,403422014.561209,403422011.537254,3.254538,3.579e-09,6.124e-10,0.417,0.158
403422174.659582,403422174.941583,403422174.7374921,0.282001,3.685e-09,6.426e-10,0.733,0.258
403422200.205903,403422200.655895,403422200.31590605,0.449992,2.394e-08,1.928e-09,0.703,0.115
403422229.916697,403422229.930755,403422229.92405105,0.014058,6.225e-10,2.560e-10,1.000,0.821
403422533.043785,403422533.633764,403422533.39377105,0.589978,1.292e-08,1.290e-09,0.470,0.101
403422536.963508,403422538.06345,403422537.53347707,1.099942,3.251e-08,2.294e-09,0.508,0.076
403422680.142717,403422681.919766,403422681.84298,1.777048,2.962e-09,5.572e-10,1.007,0.379
403422724.112591,403422725.246845,403422724.12980103,1.134254,1.677e-09,4.217e-10,0.763,0.384
403422944.350685,403422944.507271,403422944.442495,0.156586,5.321e-10,2.410e-10,0.656,0.603
403423057.629977,403423057.736332,403423057.723132,0.106355,4.167e-10,2.108e-10,0.339,0.392
403423127.953348,403423128.649784,403423128.0471691,0.696436,1.380e-09,3.815e-10,0.185,0.141
403423197.251812,403423198.12924,403423197.26119506,0.877428,2.058e-09,4.719e-10,0.444,0.221
403423405.047581,403423405.23315,403423405.142679,0.185569,3.896e-09,6.677e-10,0.780,0.270
403423428.467226,403423428.5964,403423428.4805521,0.129174,8.484e-10,3.012e-10,0.323,0.264
403423436.44607,403423436.691469,403423436.5898111,0.245399,1.426e-09,3.966e-10,0.632,0.358
403423656.906483,403423657.071612,403423656.929309,0.165129,1.270e-09,3.665e-10,0.337,0.224
403423966.610414,403423966.738244,403423966.71968305,0.12783,1.190e-09,3.614e-10,0.566,0.354
403424036.76966,403424036.884633,403424036.79292405,0.114974,7.630e-10,2.861e-10,0.421,0.354
403424070.454433,403424070.7117,403424070.61966,0.257267,1.340e-09,3.865e-10,0.475,0.291
403424270.388835,403424271.042873,403424270.950389,0.654039,2.515e-09,5.221e-10,0.278,0.141
403424322.952789,403424322.979422,403424322.96541905,0.026633,4.267e-10,2.108e-10,0.000,0.000
403427004.450182,403427005.060173,403427004.8401741,0.609991,1.651e-08,1.441e-09,0.488,0.091
403427039.246908,403427039.470428,403427039.3085151,0.22352,3.183e-09,5.924e-10,1.642,0.627
403427113.29116,403427114.808794,403427113.434934,1.517634,2.796e-09,5.472e-10,0.443,0.189
403427185.793311,403427186.051935,403427185.951403,0.258623,6.426e-10,2.610e-10,0.208,0.227
403427267.909249,403427267.99932,403427267.9673641,0.090071,1.471e-09,3.916e-10,0.395,0.235
403427446.270761,403427446.47063,403427446.358341,0.199869,1.145e-09,3.464e-10,1.747,1.105
403427612.809515,403427613.689488,403427613.2695,0.879972,3.835e-08,2.615e-09,0.685,0.095
403427716.442741,403427719.703735,403427719.33363307,3.260994,3.499e-09,6.074e-10,0.892,0.307
403427829.617285,403427830.487255,403427829.6572931,0.869969,6.777e-09,8.885e-10,0.934,0.245
403427904.440088,403427904.545752,403427904.482844,0.105664,7.379e-10,2.761e-10,1.317,1.021
403427918.891963,403427921.261839,403427920.811857,2.369876,5.042e-08,3.183e-09,0.659,0.085
403428139.431264,403428139.566813,403428139.45801806,0.135548,1.150e-09,3.464e-10,0.380,0.255
403428178.509498,403428179.064995,403428179.0353861,0.555497,1.255e-09,3.614e-10,1.008,0.579
403428193.264575,403428193.396455,403428193.39442205,0.13188,9.488e-10,3.163e-10,0.783,0.527
403428218.057787,403428218.610498,403428218.35273206,0.552711,1.240e-09,3.564e-10,0.328,0.218
403428346.553789,403428347.253759,403428346.56379807,0.69997,5.682e-08,3.599e-09,0.660,0.085
403428387.711407,403428387.935269,403428387.89082706,0.223863,1.501e-09,4.016e-10,0.163,0.126
403428653.100688,403428655.630507,403428653.46067,2.529819,5.316e-09,7.530e-10,1.184,0.335
403428797.998939,403428798.868886,403428798.018947,0.869948,6.054e-09,8.183e-10,0.893,0.241
403428819.200578,403428819.628827,403428819.377172,0.428249,3.223e-09,5.873e-10,0.430,0.171
403428853.00655,403428853.202527,403428853.10434806,0.195977,1.416e-09,3.916e-10,0.439,0.263
403428877.402287,403428878.972174,403428878.162233,1.569887,8.705e-09,9.990e-10,0.736,0.171
403429015.540382,403429015.950366,403429015.70037806,0.409984,8.810e-09,1.054e-09,0.521,0.131
403429149.815542,403429150.016694,403429149.878443,0.201152,5.321e-10,2.410e-10,0.984,0.811
403429257.725129,403429257.803658,403429257.73861504,0.07853,7.630e-10,2.912e-10,0.407,0.339
403429276.956835,403429277.846773,403429277.24681807,0.889938,5.055e-09,7.530e-10,0.554,0.173
403429279.845187,403429280.213303,403429279.99656403,0.368116,2.455e-09,5.221e-10,2.169,0.989
403429392.035709,403429393.238975,403429392.806062,1.203266,3.122e-09,5.924e-10,0.267,0.124
403429520.413554,403429520.57531,403429520.423998,0.161756,7.580e-10,2.861e-10,1.359,1.034
403429593.836697,403429593.965832,403429593.886986,0.129135,9.940e-10,3.313e-10,2.000,1.413
403429631.169027,403429631.463103,403429631.3933921,0.294076,1.521e-09,4.066e-10,0.757,0.406
403429701.836239,403429701.886507,403429701.85661805,0.050269,7.530e-10,2.861e-10,0.765,0.582
403429734.363476,403429736.003338,403429735.83334506,1.639862,1.299e-08,1.250e-09,0.473,0.097
403429774.816547,403429776.727321,403429775.62950706,1.910774,3.730e-09,6.325e-10,0.846,0.287
403429946.609699,403429946.997946,403429946.942979,0.388247,3.047e-09,5.873e-10,0.593,0.236
403430001.037146,403430001.125634,403430001.08776903,0.088488,7.881e-10,2.962e-10,0.389,0.324
403430032.124779,403430034.124607,403430032.78472507,1.999828,5.848e-09,8.183e-10,0.592,0.171
403430052.702805,403430053.162781,403430052.90279603,0.459976,1.999e-08,1.722e-09,0.685,0.120
403432764.378573,403432764.41825,403430147.079566,0.689792,4.518e-10,9.538e-11,0.141,0.095
403432941.040248,403432941.322472,403432764.383144,0.039677,7.430e-10,2.811e-10,0.750,0.578
403432947.539017,403432947.900254,403432941.104607,0.282224,9.337e-10,3.112e-10,0.283,0.227
403432960.86199,403432960.916192,403432947.84427905,0.361238,1.807e-09,4.367e-10,0.895,0.433
403433045.183391,403433045.266967,403432960.89364207,0.054202,7.480e-10,2.811e-10,0.164,0.177
403433201.441627,403433201.851626,403433045.2194971,0.083575,1.069e-09,3.363e-10,0.664,0.431
403433273.959783,403433274.174425,403433201.54163206,0.409999,9.799e-09,1.104e-09,0.713,0.162
403433369.262827,403433369.592829,403433274.037882,0.214642,5.171e-10,2.309e-10,0.661,0.605
403433391.109052,403433391.151997,403433369.40282905,0.330002,1.052e-08,1.150e-09,0.825,0.181
403433418.154742,403433419.23193,403433391.111658,0.042945,9.237e-10,3.062e-10,0.128,0.136
403433447.048592,403433447.388593,403433418.530167,1.077188,1.682e-09,4.217e-10,0.988,0.495
403433484.514312,403433484.741357,403433447.25859,0.340001,7.540e-09,9.237e-10,0.787,0.192
403433532.49381,403433533.253787,403433484.62651706,0.227045,1.637e-09,4.217e-10,0.874,0.456
403433593.860286,403433594.490269,403433532.533818,0.759977,5.125e-09,7.580e-10,0.393,0.129
403433769.650972,403433770.015818,403433594.29027104,0.629983,1.778e-08,1.536e-09,0.586,0.105
403433811.237132,403433811.527134,403433769.82973206,0.364847,1.596e-09,4.116e-10,0.502,0.278
403433969.235202,403433969.525163,403433811.317137,0.290002,9.854e-09,1.099e-09,0.501,0.118
403434253.036796,403434253.316795,403433969.23687005,0.28996,8.283e-10,2.912e-10,0.976,0.698
403434375.381596,403434375.520723,403434253.096802,0.279999,7.189e-09,9.136e-10,0.673,0.174
403434413.334182,403434413.48309,403434375.407506,0.139128,6.275e-10,2.560e-10,0.500,0.426
403434566.992171,403434571.191845,403434413.374542,0.148908,2.400e-09,5.120e-10,0.817,0.350
403434698.679895,403434698.817092,403434567.3321531,4.199674,1.405e-08,1.280e-09,0.612,0.115
403434896.687921,403434896.945376,403434698.7211311,0.137196,6.526e-10,2.661e-10,0.494,0.435
403434903.892178,403434905.454014,403434896.803807,0.257455,5.271e-10,2.359e-10,0.247,0.276
403434927.944673,403434928.434876,403434903.893173,1.561836,1.089e-09,3.464e-10,0.254,0.200
403434952.133937,403434952.28446,403434927.961012,0.490203,3.303e-09,5.924e-10,0.828,0.299
403435033.198993,403435033.248617,403434952.22882307,0.150523,1.421e-09,3.966e-10,0.444,0.268
403435193.300268,403435193.443732,403435033.2414421,0.049624,3.163e-10,1.807e-10,0.488,0.595
403435269.376348,403435269.485361,403435193.306568,0.143464,6.325e-10,2.610e-10,1.048,0.852
403435311.876379,403435311.947516,403435269.379387,0.109014,7.580e-10,2.861e-10,0.172,0.186
403435396.524575,403435396.657769,403435311.93534505,0.071136,8.835e-10,3.112e-10,1.667,1.213
403435444.782623,403435446.802449,403435396.557261,0.133193,4.468e-10,2.259e-10,1.023,1.024
403435476.053129,403435476.159739,403435444.81263006,2.019826,5.617e-09,7.881e-10,0.643,0.184
403435713.383655,403435713.870253,403435476.15961504,0.10661,4.167e-10,2.108e-10,1.000,0.976
403435772.621012,403435774.080892,403435713.39672804,0.486598,1.777e-09,4.468e-10,0.142,0.107
403435893.119456,403435895.299268,403435772.631021,1.45988,1.761e-08,1.451e-09,0.832,0.137
403438966.853275,403438967.177242,403435894.999287,2.179812,5.051e-08,2.701e-09,0.535,0.060
403439009.117659,403439009.182226,403438966.96423805,0.323967,1.320e-09,3.815e-10,0.963,0.559
403439057.106762,403439058.320863,403439009.15207803,0.064567,1.827e-09,4.418e-10,0.693,0.340
403439080.816602,403439080.999756,403439057.909552,1.2141,2.334e-09,4.970e-10,1.204,0.516
403439248.759294,403439249.569269,403439080.88834906,0.183154,1.406e-09,3.916e-10,1.593,0.906
403439383.101679,403439383.921651,403439248.819301,0.809975,8.705e-09,1.034e-09,0.541,0.135
403439457.817824,403439458.019536,403439383.41167104,0.819972,4.305e-08,2.786e-09,0.595,0.080
403439512.269213,403439512.347504,403439457.977281,0.201713,1.360e-09,3.765e-10,0.627,0.360
403439919.83031,403439920.21307,403439512.31400406,0.078291,1.270e-09,3.665e-10,1.000,0.579
403440045.137993,403440045.377995,403439919.8471271,0.38276,1.255e-09,3.614e-10,0.712,0.419
403440103.333457,403440103.533585,403440045.337988,0.240002,6.300e-09,8.584e-10,0.456,0.133
403440269.312717,403440269.407974,403440103.34362507,0.200129,2.033e-09,4.669e-10,0.919,0.424
403440346.591703,403440346.626903,403440269.360659,0.095257,5.271e-10,2.359e-10,0.667,0.610
403440357.044895,403440357.099199,403440346.62438905,0.035201,4.217e-10,2.108e-10,2.864,3.298
403440428.894027,403440429.231503,403440357.0635301,0.054304,8.383e-10,2.962e-10,1.651,1.203
403440515.919682,403440516.114829,403440429.137534,0.337475,1.054e-09,3.313e-10,0.429,0.293
403440962.009911,403440963.469794,403440515.940155,0.195147,7.530e-10,2.861e-10,1.308,1.001
403440990.517234,403440991.017207,403440962.159907,1.459883,1.122e-08,1.160e-09,0.514,0.112
403441081.898593,403441082.298575,403440990.6072351,0.499973,1.288e-08,1.265e-09,0.298,0.069
403441114.025535,403441114.575503,403441082.148579,0.399982,4.257e-09,6.978e-10,0.481,0.169
403441396.377671,403441396.588649,403441114.1255361,0.549968,4.567e-08,3.017e-09,0.594,0.081
403441428.567011,403441428.82269,403441396.41840005,0.210978,8.634e-10,3.062e-10,1.688,1.231
403441472.312217,403441472.543122,403441428.62529004,0.25568,6.476e-10,2.610e-10,0.506,0.446
403441480.530087,403441480.576636,403441472.381065,0.230904,2.465e-09,5.120e-10,0.655,0.281
403441638.875866,403441639.032236,403441480.570274,0.046549,8.584e-10,3.012e-10,0.336,0.271
403441694.949665,403441695.51963,403441638.905036,0.15637,1.441e-09,4.016e-10,0.187,0.144
403444402.702921,403444403.322911,403441695.00966907,0.569966,5.427e-09,7.831e-10,0.536,0.163
403444418.817153,403444419.040521,403444402.92292,0.61999,2.081e-08,1.742e-09,0.552,0.097
403444428.859833,403444429.036678,403444418.9021491,0.223368,6.375e-10,2.610e-10,1.016,0.837
403444489.323999,403444489.494232,403444428.871668,0.176845,1.175e-09,3.564e-10,1.753,1.105
403444565.892661,403444566.050363,403444489.448735,0.170233,2.028e-09,4.669e-10,0.266,0.151
403444577.159047,403444577.243452,403444566.024999,0.157702,1.506e-09,4.016e-10,6.143,4.737
403444657.07049,403444660.130358,403444577.17445207,0.084404,7.329e-10,2.761e-10,0.404,0.341
403444744.7534,403444745.349549,403444658.43043303,3.059868,6.446e-09,8.383e-10,0.737,0.194
403444757.147087,403444759.534271,403444745.0760751,0.596149,2.866e-09,5.622e-10,0.733,0.291
403444783.38411,403444784.244086,403444757.845425,2.387184,3.584e-09,6.124e-10,0.476,0.176
403444804.609321,403444808.165522,403444783.5441121,0.859976,2.766e-08,2.128e-09,0.625,0.099
403444839.501211,403444840.911158,403444805.312992,3.556201,3.494e-09,6.074e-10,0.576,0.208
403444858.12024,403444859.020213,403444840.551167,1.409947,4.899e-08,2.731e-09,0.570,0.066
403444861.730051,403444862.980006,403444858.220245,0.899973,1.217e-08,1.185e-09,0.606,0.122
403444888.478241,403444888.703172,403444862.0800431,1.249955,1.077e-08,1.119e-09,0.857,0.178
403444936.152326,403444936.640923,403444888.618647,0.224931,1.064e-09,3.363e-10,0.664,0.425
403444977.372755,403444977.756363,403444936.40610707,0.488597,7.279e-10,2.761e-10,1.339,1.031
403444988.091343,403444988.852394,403444977.493893,0.383608,2.128e-09,4.769e-10,1.214,0.545
403444993.493012,403444994.142997,403444988.78327906,0.761051,2.560e-09,5.221e-10,0.594,0.250
403445062.15551,403445062.90402,403444993.53302,0.649985,6.928e-09,9.036e-10,0.515,0.142
403445070.75742,403445071.212675,403445062.669206,0.748511,1.150e-09,3.464e-10,0.380,0.255
403445072.896477,403445073.333765,403445070.83875,0.455254,1.591e-09,4.116e-10,0.665,0.352
403445080.508197,403445082.378112,403445073.01862705,0.437288,2.791e-09,5.472e-10,1.000,0.392
403445140.485309,403445140.684026,403445081.028178,1.869915,4.513e-09,7.078e-10,0.516,0.170
403445177.907459,403445178.273597,403445140.514801,0.198717,1.265e-09,3.665e-10,0.300,0.196
