TSTART (NuSTAR MET),TSTOP (NuSTAR MET),TPEAK (NuSTAR MET),T90 (s),FLUENCE (erg cm-2),FLUENCE_ERR (erg cm-2),HARDNESS (10-79keV/3-10keV),HARDNESS_ERR
403463137.527331,403463138.36729,403463091.690644,0.859959,7.098e-09,8.936e-10,0.654,0.169
403463143.146923,403463144.306858,403463101.13996804,1.922391,3.865e-09,6.426e-10,0.495,0.176
403463153.936136,403463154.616106,403463118.668707,0.429989,1.817e-08,1.601e-09,0.315,0.065
403463156.765929,403463157.915865,403463131.247797,2.299853,7.344e-09,8.986e-10,0.355,0.097
403463176.824456,403463179.48428,403463137.7173281,0.839959,4.116e-09,6.677e-10,0.903,0.293
403463181.437215,403463182.246928,403463143.56690204,1.159936,6.416e-09,8.434e-10,0.711,0.189
403463186.773722,403463188.463617,403463153.976143,0.67997,4.478e-09,6.978e-10,0.709,0.225
403463204.912376,403463206.682264,403463157.2459041,1.149936,1.835e-08,1.531e-09,0.620,0.107
403463210.601952,403463213.841731,403463179.064301,2.659824,3.408e-08,2.068e-09,0.507,0.065
403463217.439551,403463218.891829,403463181.964087,0.809713,3.745e-09,6.426e-10,0.474,0.173
403463234.660151,403463238.049916,403463187.4436821,1.689895,4.948e-08,2.967e-09,0.481,0.062
403463240.669698,403463242.079612,403463204.9323851,1.769888,9.739e-09,1.049e-09,0.571,0.129
403463248.429113,403463249.869024,403463210.661958,3.239778,2.230e-08,1.611e-09,0.562,0.084
403463257.398434,403463260.828194,403463217.9314151,1.452277,3.640e-09,6.225e-10,0.472,0.173
403463270.477441,403463271.217404,403463235.640087,3.389765,3.857e-08,2.199e-09,0.587,0.069
403463273.287227,403463274.877126,403463241.95961106,1.409914,8.459e-09,9.638e-10,0.712,0.165
403463281.096631,403463281.516619,403463249.099072,1.439911,9.688e-08,4.533e-09,0.308,0.034
403463286.316232,403463288.716068,403463257.428442,3.42976,3.122e-08,1.973e-09,0.626,0.081
403463298.455301,403463299.735222,403463270.69743407,0.739964,3.246e-08,2.184e-09,0.498,0.071
403463304.084868,403463304.494856,403463274.07717705,1.589899,4.511e-08,2.651e-09,0.653,0.078
403463316.468995,403463316.586713,403463281.22663105,0.419988,9.061e-09,1.044e-09,0.530,0.129
403463322.783423,403463324.423316,403463288.45607805,2.399836,1.675e-08,1.416e-09,0.545,0.096
403463326.253154,403463327.123107,403463299.1352581,1.279922,3.002e-08,2.028e-09,0.440,0.064
403463332.152696,403463334.852506,403463304.494846,0.409988,5.592e-09,8.082e-10,0.454,0.142
403463340.417592,403463340.631251,403463316.48392105,0.117718,2.244e-09,4.920e-10,0.467,0.213
403463347.085901,403463347.297083,403463322.8734261,1.639893,1.838e-08,1.471e-09,0.497,0.084
403463354.41096,403463355.040931,403463326.3631561,0.869953,1.974e-08,1.611e-09,0.556,0.095
403463357.610709,403463358.960624,403463332.2327,2.69981,1.947e-08,1.571e-09,0.780,0.127
403463363.200264,403463363.571025,403463340.512056,0.213659,3.137e-09,5.823e-10,0.447,0.179
403463370.729679,403463374.65939,403463347.12154007,0.211182,2.605e-09,5.321e-10,0.496,0.215
403463381.988791,403463382.908739,403463354.94092906,0.629971,4.920e-09,7.430e-10,1.021,0.308
403463414.999691,403463415.134932,403463357.820703,1.349914,4.087e-08,2.480e-09,0.760,0.093
403463419.945775,403463420.51575,403463363.34027004,0.370761,2.651e-09,5.422e-10,0.197,0.107
403463425.835304,403463428.155138,403463370.73968804,3.929711,2.934e-08,1.862e-09,0.544,0.072
403463434.271095,403463434.377585,403463382.0088,0.919947,2.155e-07,1.186e-08,0.498,0.058
403463440.704111,403463442.234007,403463415.026178,0.135241,2.761e-09,5.522e-10,0.389,0.173
403463448.723465,403463449.313437,403463419.9557841,0.569974,4.859e-09,7.430e-10,0.794,0.244
403463452.153188,403463452.49318,403463426.335274,2.319834,6.345e-08,3.378e-09,0.702,0.076
403463460.891356,403463461.191682,403463434.3146341,0.106489,3.444e-09,6.175e-10,0.409,0.161
403463464.712172,403463465.272146,403463441.214079,1.529897,1.892e-08,1.506e-09,0.463,0.079
403463469.310555,403463469.422922,403463449.013451,0.589972,8.077e-09,9.538e-10,0.565,0.139
403463471.201645,403463474.4714,403463452.16319704,0.339993,6.546e-09,8.835e-10,0.716,0.195
403463480.991183,403463481.47862,403463461.04247904,0.300326,3.549e-09,6.476e-10,0.297,0.128
403463492.329924,403463492.98989,403463464.79217505,0.559975,7.701e-09,9.488e-10,0.655,0.165
403463503.419016,403463504.368959,403463469.35180604,0.112367,2.319e-09,5.070e-10,0.399,0.193
403463506.535551,403463506.865457,403463471.46163404,3.269754,2.004e-08,1.546e-09,0.529,0.085
403463510.393819,403463510.695932,403463481.13084805,0.487437,2.520e-09,5.271e-10,0.517,0.225
403463514.782265,403463515.887828,403463492.549916,0.659966,2.991e-08,2.219e-09,0.441,0.071
403463526.917083,403463527.897022,403463503.48902106,0.949942,1.697e-08,1.476e-09,0.383,0.074
403463533.484772,403463533.817608,403463506.54877007,0.329906,2.942e-09,5.773e-10,1.170,0.459
403463537.676194,403463538.44615,403463510.668432,0.302113,3.042e-09,5.873e-10,0.507,0.207
403463541.2259,403463541.635886,403463515.128065,1.105562,3.288e-09,6.024e-10,0.502,0.194
403463542.955756,403463543.895698,403463527.70702803,0.979939,3.587e-08,2.485e-09,0.695,0.098
403463552.724945,403463553.314916,403463533.576543,0.332836,2.821e-09,5.622e-10,0.663,0.271
403463560.729914,403463560.939475,403463538.016176,0.769956,1.441e-08,1.335e-09,0.620,0.118
403463564.823937,403463565.823874,403463541.335901,0.409986,5.497e-09,8.032e-10,0.674,0.200
403463573.196163,403463573.322612,403463543.565716,0.939942,4.428e-09,7.078e-10,1.156,0.370
403463579.915127,403463579.968781,403463553.154919,0.589971,8.208e-09,9.739e-10,0.917,0.218
403463583.402383,403463584.75229,403463560.83428,0.209562,3.258e-09,6.175e-10,0.333,0.145
403463595.311382,403463595.58138,403463565.203915,0.999937,1.635e-08,1.451e-09,0.378,0.075
403463598.451118,403463599.331064,403463573.24324405,0.126449,1.737e-09,4.367e-10,0.602,0.310
403463607.510354,403463608.160319,403463579.942683,0.053654,9.488e-10,3.163e-10,0.800,0.537
403463611.050055,403463611.300054,403463583.83235705,1.349907,1.233e-08,1.200e-09,0.579,0.117
403463619.201943,403463619.501345,403463595.46138,0.269997,6.797e-09,9.187e-10,0.716,0.196
403463627.928625,403463628.068633,403463598.571118,0.879946,2.686e-08,1.943e-09,0.607,0.090
403463637.112078,403463637.470705,403463607.5603601,0.649965,2.173e-08,1.732e-09,0.479,0.082
403463647.646947,403463648.116927,403463611.13005805,0.249999,4.518e-09,7.229e-10,0.302,0.115
403463652.457878,403463652.640285,403463619.319365,0.299402,2.952e-09,5.773e-10,0.448,0.190
403463655.506276,403463656.216235,403463627.978631,0.140008,4.995e-09,7.630e-10,0.626,0.194
403463660.47585,403463661.305799,403463637.12785304,0.358626,1.842e-09,4.468e-10,0.417,0.221
403463664.062704,403463664.922241,403463648.08691907,0.46998,7.164e-09,9.036e-10,0.657,0.169
403463673.164762,403463674.574661,403463652.566537,0.182406,2.821e-09,5.622e-10,0.552,0.231
403463690.803244,403463691.593196,403463656.06623805,0.709959,5.226e-09,7.630e-10,0.375,0.123
403463699.802466,403463701.622329,403463660.875826,0.829949,4.438e-09,7.028e-10,0.437,0.151
